,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,nname,nzip,snum,rating,lat,lon,stnum
39,Wholly Smokes Bar-B-Que Restaurant,"B.J.C.K., Inc.",6803 N. Armenia Ave,Tampa,FL,33604.0,wholly smokes bar-b-que restaurant,33604,6803,0.0,-82.4842713517,28.0097105381,6803.0
40,Rainforest Cafe,"Landry's Restaurant, Inc.","12801 W. Sunrise Blvd, #315",Fort Lauderdale,FL,33323.0,rainforest cafe,33323,12801,12.0,-80.3225288006,26.1445379384,12801.0
41,Vanguard Cleaning Systems of Tampa,At Your Team Enterprises Inc.,12108 N. 56th St.  Suite D,Tampa,FL,33617.0,vanguard cleaning systems of tampa,33617,12108,10.0,-82.393823769,28.05747939,12108.0
42,Dollar Store,The Dollar Store,"12801 W Sunrise Blvd, #935",Sunrise,FL,33323.0,dollar store,33323,12801,0.0,-80.3225288006,26.1445379384,12801.0
43,BrandsMart USA,Interbond,12801 W Sunrise Blvd,Sunrise,FL,33323.0,brandsmart usa,33323,12801,0.0,-80.3225288006,26.1445379384,12801.0
44,Mike Newbern A/C,Mike Newbern A/C Contractor Inc,1136  Berkley Rd,Auburndale,FL,33823.0,mike newbern a/c,33823,1136,6.0,-81.8183450436,28.1110249033,1200.0
45,Bay Tree Lakeside,Taterik Properties LLC,6411 46th Ave North,Saint Petersburg,FL,33709.0,bay tree lakeside,33709,6411,13.0,-82.7252605637,27.8137405753,6411.0
46,Lake Nona Golf and Country Club,"Lake Nona Management Company, LLC",9100 Chiltern Dr,Orlando,FL,32827.0,lake nona golf and country club,32827,9100,0.0,-81.2644654128,28.4150854539,9100.0
47,Walden Lakes Car Wash & Auto Service,"AFT Car Wash, LLC",1414 S Alexander,Plant City,FL,33563.0,walden lakes car wash & auto service,33563,1414,10.0,-82.1377083091,28.0027887556,1414.0
48,El Paraiso Cafe,El Paraiso Cafe,4112 E 7th Ave,Tampa,FL,33605.0,el paraiso cafe,33605,4112,0.0,-82.4124147231,27.9602847005,4112.0
49,SE Cline Construction,"S.E. Cline Construction, Inc.",18 Utility Drive,Palm Coast,FL,32137.0,se cline construction,32137,18,0.0,-81.2124380004,29.5470622363,18.0
50,5 A Harvesting Co.,5 A Harvesting Co.,887 A Road,Labelle,FL,33935.0,5 a harvesting co,33935,887,0.0,-81.4240877098,26.7071812727,887.0
51,"Hallmark Nameplate, Inc","Hallmark Nameplate, Inc.",1717 Lincoln Ave,Mount Dora,FL,32757.0,hallmark nameplate inc,32757,1717,0.0,-81.6267885661,28.8078024008,1717.0
52,Waters Cleaning of Sarasota,"L & L Services of Sarasota, Inc.",1858 University Parkway,Sarasota,FL,34243.0,waters cleaning of sarasota,34243,1858,12.0,-82.5243810082,27.3885692719,2246.0
53,"E & A Cleaning, Inc.","E & A Cleaning, Inc.",529 W. Brannen Road,Lakeland,FL,33813.0,e & a cleaning inc,33813,529,14.0,-81.9633359353,27.9615632402,529.0
54,Barnhill's Buffet,"Barnhill's Buffet of Tennessee, Inc.",100 Live Oaks Blvd.,Casselberry,FL,32707.0,barnhills buffet,32707,100,10.0,-81.3444262284,28.6644677396,100.0
