,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,nname,nzip,snum
2600,Joe Allen,"Joe Allen Miami Beach, LLC",1787 Purdy Ave,Miami Beach,FL,33139.0,joe allen,33139,1787
2607,Nexxt Cafe,Boce Group LC,700 Lincoln Rd,Miami Beach,FL,33139.0,nexxt cafe,33139,700
2616,Morton Roofing,"Morton Roofing, Inc.",700 NE 42nd Street,Oakland Park,FL,33334.0,morton roofing,33334,700
2625,SUPER KING BUFFET,"SUPER KING BUFFET OF MIAMI, INC.",18690 NW 67th Avenue,Hialeah,FL,33015.0,super king buffet,33015,18690
2633,Prop Print,"Ink, Incorporated",6306 Benjamin Road,Tampa,FL,33634.0,prop print,33634,6306
2656,Marble Craft Design Inc,"Marble Craft Design, Inc.","425 Industrial St, Unit A",Lake Worth,FL,33461.0,marble craft design inc,33461,425
2657,"M. K. Farms, Inc.","M. K. Farms, Inc.",115 Foxcraft Street,Saint Augustine,FL,32092.0,m k farms inc,32092,115
2677,Au Bon Pain,"Bread Partners 1, Inc","777 NW 72 Ave, #3A20, (Merch mart.)",Miami,FL,33126.0,au bon pain,33126,777
2678,Captain Brien Seafood & Raw Bar,"Captain Brien's Seafood & Roast Beef, Inc.",599 S. Collier Blvd,Marco Island,FL,34145.0,captain brien seafood & raw bar,34145,599
2719,Pelican Bay Country Club,Pelican Bay Golf and Country Club of Daytona,350 Pelican Bay Drive,New Smyrna Beach,FL,32168.0,pelican bay country club,32168,350
2731,"L & J Farm Picking, Inc.","L & J Farm Picking, Inc.",211 N.E. 199 Lane,Miami,FL,33179.0,l & j farm picking inc,33179,211
